feature,type,mi_score,spearman_r,spearman_abs,mi_norm,mean_abs_shap,shap_norm,stage1_pass,stage2_pass,recommended
permittypedesc,categorical,0.18351759389306244,0.5301945791800804,0.5301945791800804,1.0,0.24698836721177342,0.2514835717955694,True,True,True
review_complexity_max,categorical,0.17738060818699175,0.5118584908492869,0.5118584908492869,0.966559142500273,0.1993285613085688,0.20295635427951253,True,True,True
app_year,numeric,0.07485254765599736,-0.15488687148582087,0.15488687148582087,0.4078766840176354,0.15427360960210687,0.15708139947849215,True,True,True
permitclass,categorical,0.09211416230229208,0.13952426375682173,0.13952426375682173,0.5019364102821005,0.0894521180242267,0.09108015247585734,True,True,True
latitude,numeric,0.17012407816552377,-0.0167554226699218,0.0167554226699218,0.9270178109716107,0.07130775081625275,0.07260555658722075,True,True,True
zone_family,categorical,0.09840703113486748,-0.029838684720382768,0.029838684720382768,0.5362266856670443,0.05073965823030812,0.05166312335877532,True,True,True
log_housingunitsadded,numeric,0.16204260373580714,0.48406956007177593,0.48406956007177593,0.8829813005843516,0.048968352761688934,0.049859580013726056,True,True,True
longitude,numeric,0.13602940061691182,-0.02362832335368639,0.02362832335368639,0.7412335663913375,0.046361636455162086,0.04720542129838443,True,True,True
app_month,numeric,0.06103917309700657,0.04217671887018547,0.04217671887018547,0.33260665531924266,0.0342238924640223,0.034846769565548726,True,True,True
comment_n_distinct_cycles,numeric,0.01627233399632466,0.6516028035357216,0.6516028035357216,0.08866906791403725,0.015164422189912824,0.015440415674578706,True,True,True
comment_n_rows,numeric,0.021518614854927787,0.685962836916966,0.685962836916966,0.11725641339580173,0.010033277012277667,0.010215883316069353,True,True,True
comment_n_subjects,numeric,0.03163681997053569,0.6610566510916087,0.6610566510916087,0.17239120947156045,0.008426216229405568,0.008579573920887464,True,False,False
app_quarter,numeric,0.036634337615967905,0.036293670190867856,0.036293670190867856,0.19962302708325125,0.004376753639868918,0.004456410844968037,True,False,False
comment_max_cycle,numeric,0.013163083325761882,0.6502781148380237,0.6502781148380237,0.07172654701124812,0.0019773388713276896,0.002013326569284691,True,False,False
comment_has_structural,numeric,0.013472244706468572,0.2787192884072043,0.2787192884072043,0.07341118865321973,0.0005033007148974644,0.0005124608211250384,True,False,False
comment_has_design_review,numeric,0.011356890956545573,0.13507579034721276,0.13507579034721276,0.06188448047745956,0.0,0.0,True,False,False
comment_has_eca,numeric,0.008104865120537763,0.2854086507080648,0.2854086507080648,0.04416396787144316,0.0,0.0,False,False,False
comment_n_review_types,numeric,0.0074780526009936565,0.5825440299268364,0.5825440299268364,0.04074842331112511,0.0,0.0,False,False,False
comment_resubmit_rate,numeric,0.005537069635194403,0.3228536688481043,0.3228536688481043,0.03017187353938887,0.0,0.0,False,False,False
dependentbuilding,numeric,0.00026273755453098957,0.050200971567289566,0.050200971567289566,0.0014316750179499923,0.0,0.0,False,False,False
